confidence,city_a,city_b,city_a_slug,city_b_slug,city_a_counties,city_b_counties,county_overlap,normalized_a,normalized_b,edit_distance,blocked_pair,approved_alias_exists,suggested_action,reason
medium,CANAL WINCHESTE,CANALWINCHESTER,canal-wincheste,canalwinchester,FRANKLIN,FRANKLIN,yes,canal wincheste,canalwinchester,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CANAL WINCHESTER,CANALWINCHESTER,canal-winchester,canalwinchester,FRANKLIN,FRANKLIN,yes,canal winchester,canalwinchester,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CINCINAATI,CINCINANTI,cincinaati,cincinanti,HAMILTON,HAMILTON,yes,cincinaati,cincinanti,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CINCINAATI,CINCINATI,cincinaati,cincinati,HAMILTON,HAMILTON,yes,cincinaati,cincinati,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CINCINAATI,CINCINATTI,cincinaati,cincinatti,HAMILTON,HAMILTON,yes,cincinaati,cincinatti,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CINCINAATI,CINCINNATI,cincinaati,cincinnati,HAMILTON,BUTLER|CLERMONT|HAMILTON|WARREN,yes,cincinaati,cincinnati,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CINCINAATI,CINCINNATTI,cincinaati,cincinnatti,HAMILTON,HAMILTON,yes,cincinaati,cincinnatti,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CINCINAATI,CINCINNNATI,cincinaati,cincinnnati,HAMILTON,HAMILTON,yes,cincinaati,cincinnnati,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CINCINAATI,CLNCINNATI,cincinaati,clncinnati,HAMILTON,HAMILTON,yes,cincinaati,clncinnati,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CINCINANTI,CINCINATI,cincinanti,cincinati,HAMILTON,HAMILTON,yes,cincinanti,cincinati,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CINCINANTI,CINCINATTI,cincinanti,cincinatti,HAMILTON,HAMILTON,yes,cincinanti,cincinatti,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CINCINANTI,CINCINNATI,cincinanti,cincinnati,HAMILTON,BUTLER|CLERMONT|HAMILTON|WARREN,yes,cincinanti,cincinnati,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CINCINANTI,CINCINNATTI,cincinanti,cincinnatti,HAMILTON,HAMILTON,yes,cincinanti,cincinnatti,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CINCINANTI,CINCINNNATI,cincinanti,cincinnnati,HAMILTON,HAMILTON,yes,cincinanti,cincinnnati,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CINCINATI,CINCINATTI,cincinati,cincinatti,HAMILTON,HAMILTON,yes,cincinati,cincinatti,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CINCINATI,CINCINNATI,cincinati,cincinnati,HAMILTON,BUTLER|CLERMONT|HAMILTON|WARREN,yes,cincinati,cincinnati,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CINCINATI,CINCINNATTI,cincinati,cincinnatti,HAMILTON,HAMILTON,yes,cincinati,cincinnatti,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CINCINATI,CINCINNNATI,cincinati,cincinnnati,HAMILTON,HAMILTON,yes,cincinati,cincinnnati,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CINCINATI,CINICNNATI,cincinati,cinicnnati,HAMILTON,HAMILTON,yes,cincinati,cinicnnati,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,CINCINATI,CLNCINNATI,cincinati,clncinnati,HAMILTON,HAMILTON,yes,cincinati,clncinnati,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
